able	Hung dep trai
cold	lạnh, sự lạnh lẽo, lạnh nhạt;
collect	sưu tập, tập trung lại;
colony	thuộc địa;
color	(từ Mỹ,nghĩa Mỹ) (như) colour;
column	cột, mục (báo);
come	đến, tới, đi đến, đi tới;
common	công, công cộng, thông thường, phổ biến;
company	công ty;
compare	so sánh, đối chiếu;
complete	hoàn thành, xong;;
condition	điều kiện, tình cảnh, tình thế;
connect	kết nối, nối;
consider	cân nhắc, xem xét; để ý, quan tâm, lưu ý đến;
consonant	(âm nhạc) thuận tai, êm ái, du dương;
contain	bao hàm, chứa đựng, bao gồm;
continent	lục địa, đại lục (lục địa Bắc Mỹ);
continue	tiếp tục, làm tiếp;
control	sự điều khiển, quyền hành, quyền lực, quyền chỉ huy;
cook	nấu ăn, người nấu ăn;
cool	mát mẻ, điềm tĩnh; làm mát;
copy	bản sao, bản chép lại; sự sao chép; sao chép, bắt chước;
corn	chai (chân);
corner	góc (tường, nhà, phố...);
correct	đúng, chính xác; sửa, sửa chữa;
cost	giá, chi phí; trả giá, phải trả;
cotton	bông, chỉ, sợi;
could	có thể, có khả năng;
count	đếm, tính;
country	nước, quốc gia, đất nước;
course	tiến trình, quá trình diễn tiến; sân chạy đua;
cover	bao bọc, che phủ; vỏ, vỏ bọc;
cow	con bò cái;
crease	nếp nhăn, nếp gấp;
create	sáng tạo, tạo nên;
crop	vụ mùa;
cross	cây Thánh Giá, nỗi thống khổ; sự băng qua; băng qua, vượt qua;
crowd	đám đông;
cry	khóc, kêu la; sự khóc, tiếng khóc, sự kêu la;
current	hiện hành, phổ biến, hiện nay; dòng (nước), luống (gió);
cut	cắt, chặt; sự cắt;
dad	bố, cha;
dance	sự nhảy múa, sự khiêu vũ; nhảy múa, khiêu vũ;
danger	sự nguy hiểm, mối hiểm nghèo; nguy cơ, mối đe dọa;
dark	tối, tối tăm; bóng tối, ám muội;
day	ngày, ban ngày;
dead	chết, tắt;
deal	phân phát, phân phối; sự giao dịch, thỏa thuận mua bán;
dear	thân, thân yêu, thân mến; kính thưa, thưa;
death	sự chết, cái chết;
decide	quyết định, giải quyết, phân xử;
decimal	thập phân;
deep	sâu, khó lường, bí ẩn;
degree	mức độ, trình độ; bằng cấp; độ;
depend	(+ on, upon) phụ thuộc, tuỳ thuộc, tuỳ thuộc;
describe	diễn tả, miêu tả, mô tả;
desert	sa mạc; công lao, giá trị; rời bỏ, bỏ trốn;
design	sự thiết kế, kế hoạch, đề cương. phác thảo; phác họa, thiết kế;
determine	xác định, định rõ; quyết định;
develop	phát triển, mở rộng; trình bày, bày tỏ;
dictionary	từ điển;
die	chết, từ trần, hy sinh;
differ	khác, không giống;
difficult	khó, khó khăn, gay go;
direct	trực tiếp, thẳng, thẳng thắn; gửi, viết cho ai, điều khiển;
discuss	thảo luận, tranh luận;
distant	xa, cách, xa cách;
divide	chia, chia ra, phân ra;
division	sự chia, sự phân chia, sự phân loại;
do	làm, làm;
doctor	bác sĩ y khoa, tiến sĩ;
does	hươu cái, hoãng cái; nai cái;
dog	chó;
dollar	đô la Mỹ;
done	xong, hoàn thành, đã thực hiện;
door	cửa, cửa ra vào;
double	đôi, hai, kép; cái gấp đôi, lượng gấp đôi; làm gấp đôi;
down	xuống;
draw	vẽ, kéo;
dream	giấc mơ, mơ;
dress	quần áo, mặc (quần áo), ăn mặc;
drink	đồ uống; uống;
drive	lái, đua xe; cuộc đua xe (điều khiển);
drop	chảy nhỏ giọt, rơi, rớt; giọt (nước, máu...);
dry	khô, cạn; làm khô, sấy khô;
duck	con vịt, vịt cái;
during	trong lúc, trong thời gian;
